sim_id,battery_energy_capacity,battery_pmax,n_scenario,participation_mode,reserve_factor,wind_pmax
313,1600.0,400.0,3,SelfSchedule,0.0,400.0
314,1600.0,400.0,5,Bid,0.0,400.0
315,1600.0,400.0,5,SelfSchedule,0.0,400.0
316,1600.0,400.0,8,Bid,0.0,400.0
317,1600.0,400.0,8,SelfSchedule,0.0,400.0
318,1600.0,400.0,10,Bid,0.0,400.0
319,1600.0,400.0,10,SelfSchedule,0.0,400.0
320,360.0,90.0,3,Bid,0.0,450.0
321,360.0,90.0,3,SelfSchedule,0.0,450.0
322,360.0,90.0,5,Bid,0.0,450.0
323,360.0,90.0,5,SelfSchedule,0.0,450.0
324,360.0,90.0,8,Bid,0.0,450.0
325,360.0,90.0,8,SelfSchedule,0.0,450.0
326,360.0,90.0,10,Bid,0.0,450.0
327,360.0,90.0,10,SelfSchedule,0.0,450.0
328,720.0,180.0,3,Bid,0.0,450.0
329,720.0,180.0,3,SelfSchedule,0.0,450.0
330,720.0,180.0,5,Bid,0.0,450.0
331,720.0,180.0,5,SelfSchedule,0.0,450.0
332,720.0,180.0,8,Bid,0.0,450.0
333,720.0,180.0,8,SelfSchedule,0.0,450.0
334,720.0,180.0,10,Bid,0.0,450.0
335,720.0,180.0,10,SelfSchedule,0.0,450.0
336,1080.0,270.0,3,Bid,0.0,450.0
337,1080.0,270.0,3,SelfSchedule,0.0,450.0
338,1080.0,270.0,5,Bid,0.0,450.0
339,1080.0,270.0,5,SelfSchedule,0.0,450.0
340,1080.0,270.0,8,Bid,0.0,450.0
341,1080.0,270.0,8,SelfSchedule,0.0,450.0
342,1080.0,270.0,10,Bid,0.0,450.0
343,1080.0,270.0,10,SelfSchedule,0.0,450.0
344,1440.0,360.0,3,Bid,0.0,450.0
345,1440.0,360.0,3,SelfSchedule,0.0,450.0
346,1440.0,360.0,5,Bid,0.0,450.0
347,1440.0,360.0,5,SelfSchedule,0.0,450.0
348,1440.0,360.0,8,Bid,0.0,450.0
349,1440.0,360.0,8,SelfSchedule,0.0,450.0
350,1440.0,360.0,10,Bid,0.0,450.0
351,1440.0,360.0,10,SelfSchedule,0.0,450.0
352,1800.0,450.0,3,Bid,0.0,450.0
353,1800.0,450.0,3,SelfSchedule,0.0,450.0
354,1800.0,450.0,5,Bid,0.0,450.0
355,1800.0,450.0,5,SelfSchedule,0.0,450.0
356,1800.0,450.0,8,Bid,0.0,450.0
357,1800.0,450.0,8,SelfSchedule,0.0,450.0
358,1800.0,450.0,10,Bid,0.0,450.0
359,1800.0,450.0,10,SelfSchedule,0.0,450.0
360,400.0,100.0,3,Bid,0.0,500.0
361,400.0,100.0,3,SelfSchedule,0.0,500.0
362,400.0,100.0,5,Bid,0.0,500.0
363,400.0,100.0,5,SelfSchedule,0.0,500.0
364,400.0,100.0,8,Bid,0.0,500.0
365,400.0,100.0,8,SelfSchedule,0.0,500.0
366,400.0,100.0,10,Bid,0.0,500.0
367,400.0,100.0,10,SelfSchedule,0.0,500.0
368,800.0,200.0,3,Bid,0.0,500.0
369,800.0,200.0,3,SelfSchedule,0.0,500.0
370,800.0,200.0,5,Bid,0.0,500.0
371,800.0,200.0,5,SelfSchedule,0.0,500.0
372,800.0,200.0,8,Bid,0.0,500.0
373,800.0,200.0,8,SelfSchedule,0.0,500.0
374,800.0,200.0,10,Bid,0.0,500.0
375,800.0,200.0,10,SelfSchedule,0.0,500.0
376,1200.0,300.0,3,Bid,0.0,500.0
377,1200.0,300.0,3,SelfSchedule,0.0,500.0
378,1200.0,300.0,5,Bid,0.0,500.0
379,1200.0,300.0,5,SelfSchedule,0.0,500.0
380,1200.0,300.0,8,Bid,0.0,500.0
381,1200.0,300.0,8,SelfSchedule,0.0,500.0
382,1200.0,300.0,10,Bid,0.0,500.0
383,1200.0,300.0,10,SelfSchedule,0.0,500.0
384,1600.0,400.0,3,Bid,0.0,500.0
385,1600.0,400.0,3,SelfSchedule,0.0,500.0
386,1600.0,400.0,5,Bid,0.0,500.0
387,1600.0,400.0,5,SelfSchedule,0.0,500.0
388,1600.0,400.0,8,Bid,0.0,500.0
389,1600.0,400.0,8,SelfSchedule,0.0,500.0
390,1600.0,400.0,10,Bid,0.0,500.0
391,1600.0,400.0,10,SelfSchedule,0.0,500.0
392,2000.0,500.0,3,Bid,0.0,500.0
393,2000.0,500.0,3,SelfSchedule,0.0,500.0
394,2000.0,500.0,5,Bid,0.0,500.0
395,2000.0,500.0,5,SelfSchedule,0.0,500.0
396,2000.0,500.0,8,Bid,0.0,500.0
397,2000.0,500.0,8,SelfSchedule,0.0,500.0
398,2000.0,500.0,10,Bid,0.0,500.0
399,2000.0,500.0,10,SelfSchedule,0.0,500.0
