sim_id,Dispatch,Dispatch DA,Revenue DA,Revenue RT,Total Revenue
199,291907.86504900036,105533.13295000007,2005011.5376808578,23974077.97849958,25979089.51618044
200,247954.8091569998,178397.8857890002,5524537.8252391815,78922253.70679015,84446791.53202933
201,500705.71956199786,292907.321343,5826612.4698001575,28339648.72235035,34166261.19215046
202,272006.26696899976,200142.87551600003,6335685.925178714,78524091.31190148,84859777.23708004
203,527842.0562439982,267689.04527199984,5335320.927463468,54906751.960466176,60242072.88792973
204,280936.4199009997,206240.74042999992,6856264.230118678,86015290.99717274,92871555.22729152
205,535566.6752429972,229593.87847200027,4278323.722359989,66549119.243799075,70827442.96615928
206,283777.86105600034,204028.82435000016,6515150.78130142,85213448.03107794,91728598.81237948
207,532218.869602998,210613.53837999972,3831576.976009258,80247181.20006055,84078758.17606986
208,251171.00295499963,185109.72228,5925080.22851654,58814783.78674249,64739864.01525903
209,453417.04932799865,267837.2743470002,5747785.6524742795,10398992.63016486,16146778.282639222
210,262004.80824199965,200326.6817009996,7075546.738045805,39250912.969422765,46326459.70746857
211,466394.9420509989,245381.64256899976,4927438.727195642,31865227.81591555,36792666.543111235
212,270463.3989439999,203432.6122480001,6601704.494475211,44216762.74537476,50818467.23984996
213,464663.65708999836,205146.68806299986,4065549.248245514,53749772.41389389,57815321.66213948
214,270026.12372199976,207149.1737280005,7670981.317856589,63031065.04087827,70702046.35873488
215,460353.2235699986,182380.3632849997,3627000.7343076756,55866743.58413948,59493744.31844704
216,239912.27313799973,177820.75476,5684333.2139263265,31903177.033073988,37587510.247000255
217,411869.0005939991,248305.9044540001,4746410.714255643,-15304121.177363109,-10557710.463107444
218,247374.6681429992,181669.82772600025,6085965.946913486,20539506.073486157,26625472.02039968
219,414065.70363299915,211539.0306610001,3952251.681708877,2417772.0537343863,6370023.735443257
220,250264.28010799998,201047.16365400044,6775217.947379937,13807958.86534634,20583176.812726304
221,400793.04694899975,185898.48474300024,3359257.9568768633,28074372.876249872,31433630.83312674
222,247357.82520200007,191180.2688999999,6531746.8214988345,50587242.422539316,57118989.244038224
223,397520.61364699923,162288.52158499995,2826436.9486715957,49946688.36381841,52773125.31248989
224,229071.96989299954,160646.71898899984,5304681.261724259,-3221692.188983726,2082989.0727405013
225,379876.38032299944,228549.19146500004,4149567.0890057073,-51443315.289408244,-47293748.20040247
226,243568.30042299937,187961.8775560002,6246035.856256307,-21893674.66392961,-15647638.807673337
227,378823.3183689995,199350.65892799976,3750200.6317806216,-4170700.701091685,-420500.06931106467
228,252479.62152400025,189025.08009200005,6599022.939279508,-9466189.53584316,-2867166.5965636526
229,361823.1008050003,165219.7010799998,3099556.5981623824,1253605.1639558794,4353161.76211825
230,253477.64356700008,202362.90496800002,7456407.428003217,15098976.903141828,22555384.331145026
231,345915.33030799916,126275.22878099997,2169852.127021979,32333651.191520836,34503503.31854282
232,244693.49797999975,155788.9826600002,5252169.41569069,1939484.1277571018,7191653.543447821
233,377742.7472929986,206213.76935500014,3566619.4516038657,-72475865.2143214,-68909245.76271738
234,252829.0681439995,175108.7167240002,5870119.445211547,-37253994.983043194,-31383875.53783161
235,383872.2426100007,181881.565752,3148119.771934794,-26337102.73091981,-23188982.95898503
236,258554.2105439999,183822.90957400022,6765270.446797287,-9932180.235466205,-3166909.788668902
237,352942.3566410002,134674.07737599997,2244575.947149267,9800895.842237031,12045471.789386291
238,259058.6618529992,191754.8999290001,6607005.897708091,-25770973.883715667,-19163967.986007534
239,349057.5747139998,119999.77020400001,2093885.3420367246,9949600.421178868,12043485.763215618
240,279122.5867360004,201578.69338599956,6791788.550947422,83884132.08958678,90675920.64053422
